bench,bpred,size,metric,value
fpppp,tsbp,16KB,bpred_jr_rate,0.8009
fpppp,tsbp,1MB,bpred_jr_rate,0.8056
fpppp,tsbp,256KB,bpred_jr_rate,0.8009
fpppp,tsbp,32KB,bpred_jr_rate,0.8009
fpppp,tsbp,512KB,bpred_jr_rate,0.8009
fpppp,tsbp,64KB,bpred_jr_rate,0.8009
gcc,tsbp,128KB,bpred_jr_rate,0.7703
gcc,tsbp,16KB,bpred_jr_rate,0.7690
gcc,tsbp,1MB,bpred_jr_rate,0.7705
gcc,tsbp,256KB,bpred_jr_rate,0.7710
gcc,tsbp,32KB,bpred_jr_rate,0.7694
gcc,tsbp,512KB,bpred_jr_rate,0.7708
gcc,tsbp,64KB,bpred_jr_rate,0.7701
go,tsbp,128KB,bpred_jr_rate,0.9297
go,tsbp,16KB,bpred_jr_rate,0.9245
go,tsbp,1MB,bpred_jr_rate,0.9317
go,tsbp,256KB,bpred_jr_rate,0.9309
go,tsbp,32KB,bpred_jr_rate,0.9267
go,tsbp,512KB,bpred_jr_rate,0.9314
go,tsbp,64KB,bpred_jr_rate,0.9290
ijpeg,tsbp,128KB,bpred_jr_rate,1.0000
ijpeg,tsbp,16KB,bpred_jr_rate,1.0000
ijpeg,tsbp,1MB,bpred_jr_rate,1.0000
ijpeg,tsbp,256KB,bpred_jr_rate,1.0000
ijpeg,tsbp,32KB,bpred_jr_rate,1.0000
ijpeg,tsbp,512KB,bpred_jr_rate,1.0000
ijpeg,tsbp,64KB,bpred_jr_rate,1.0000
li,tsbp,128KB,bpred_jr_rate,0.8958
li,tsbp,16KB,bpred_jr_rate,0.8916
li,tsbp,1MB,bpred_jr_rate,0.8967
li,tsbp,256KB,bpred_jr_rate,0.8944
li,tsbp,32KB,bpred_jr_rate,0.8932
li,tsbp,512KB,bpred_jr_rate,0.8954
li,tsbp,64KB,bpred_jr_rate,0.8945
m88ksim,tsbp,128KB,bpred_jr_rate,0.8489
m88ksim,tsbp,16KB,bpred_jr_rate,0.8524
m88ksim,tsbp,1MB,bpred_jr_rate,0.8451
m88ksim,tsbp,256KB,bpred_jr_rate,0.8428
m88ksim,tsbp,32KB,bpred_jr_rate,0.8485
m88ksim,tsbp,512KB,bpred_jr_rate,0.8425
m88ksim,tsbp,64KB,bpred_jr_rate,0.8494
perl,tsbp,128KB,bpred_jr_rate,0.6422
perl,tsbp,16KB,bpred_jr_rate,0.6421
perl,tsbp,1MB,bpred_jr_rate,0.6421
perl,tsbp,256KB,bpred_jr_rate,0.6422
perl,tsbp,32KB,bpred_jr_rate,0.6423
perl,tsbp,512KB,bpred_jr_rate,0.6422
perl,tsbp,64KB,bpred_jr_rate,0.6423
vortex,tsbp,128KB,bpred_jr_rate,0.8441
vortex,tsbp,16KB,bpred_jr_rate,0.8419
vortex,tsbp,1MB,bpred_jr_rate,0.8430
vortex,tsbp,256KB,bpred_jr_rate,0.8403
vortex,tsbp,32KB,bpred_jr_rate,0.8452
vortex,tsbp,512KB,bpred_jr_rate,0.8352
vortex,tsbp,64KB,bpred_jr_rate,0.8385
fpppp,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.6667
gcc,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.3227
go,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.6449
ijpeg,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,tsbp,64KB,bpred_jr_non_ras_rate.PP,0.9929
li,tsbp,128KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,16KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,1MB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,256KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,32KB,bpred_jr_non_ras_rate.PP,0.8256
li,tsbp,512KB,bpred_jr_non_ras_rate.PP,0.8256
