results/perl_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.6422 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/perl_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.6423 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_128KB.txt:bpred_tsbp.bpred_jr_rate    0.8633 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_16KB.txt:bpred_tsbp.bpred_jr_rate    0.8394 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_1MB.txt:bpred_tsbp.bpred_jr_rate    0.8468 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_256KB.txt:bpred_tsbp.bpred_jr_rate    0.8533 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_32KB.txt:bpred_tsbp.bpred_jr_rate    0.8519 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_512KB.txt:bpred_tsbp.bpred_jr_rate    0.8477 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
results/vortex_tsbp_64KB.txt:bpred_tsbp.bpred_jr_rate    0.8642 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
