results/fpppp_gshare_128KB.txt:bpred_2lev.misses               751 # total number of misses
results/fpppp_gshare_16KB.txt:bpred_2lev.misses               720 # total number of misses
results/fpppp_gshare_1MB.txt:bpred_2lev.misses               790 # total number of misses
results/fpppp_gshare_256KB.txt:bpred_2lev.misses               772 # total number of misses
results/fpppp_gshare_32KB.txt:bpred_2lev.misses               722 # total number of misses
results/fpppp_gshare_512KB.txt:bpred_2lev.misses               779 # total number of misses
results/fpppp_gshare_64KB.txt:bpred_2lev.misses               737 # total number of misses
results/gcc_gshare_128KB.txt:bpred_2lev.misses            164116 # total number of misses
results/gcc_gshare_16KB.txt:bpred_2lev.misses            217066 # total number of misses
results/gcc_gshare_1MB.txt:bpred_2lev.misses            150635 # total number of misses
results/gcc_gshare_256KB.txt:bpred_2lev.misses            156100 # total number of misses
results/gcc_gshare_32KB.txt:bpred_2lev.misses            197496 # total number of misses
results/gcc_gshare_512KB.txt:bpred_2lev.misses            151755 # total number of misses
results/gcc_gshare_64KB.txt:bpred_2lev.misses            177825 # total number of misses
results/go_gshare_128KB.txt:bpred_2lev.misses            134407 # total number of misses
results/go_gshare_16KB.txt:bpred_2lev.misses            171267 # total number of misses
results/go_gshare_1MB.txt:bpred_2lev.misses            131452 # total number of misses
results/go_gshare_256KB.txt:bpred_2lev.misses            132172 # total number of misses
results/go_gshare_32KB.txt:bpred_2lev.misses            154548 # total number of misses
results/go_gshare_512KB.txt:bpred_2lev.misses            130637 # total number of misses
results/go_gshare_64KB.txt:bpred_2lev.misses            142377 # total number of misses
results/ijpeg_gshare_128KB.txt:bpred_2lev.misses               373 # total number of misses
results/ijpeg_gshare_16KB.txt:bpred_2lev.misses               358 # total number of misses
results/ijpeg_gshare_1MB.txt:bpred_2lev.misses               392 # total number of misses
results/ijpeg_gshare_256KB.txt:bpred_2lev.misses               378 # total number of misses
results/ijpeg_gshare_32KB.txt:bpred_2lev.misses               361 # total number of misses
results/ijpeg_gshare_512KB.txt:bpred_2lev.misses               389 # total number of misses
results/ijpeg_gshare_64KB.txt:bpred_2lev.misses               364 # total number of misses
results/li_gshare_128KB.txt:bpred_2lev.misses             78799 # total number of misses
results/li_gshare_16KB.txt:bpred_2lev.misses             88733 # total number of misses
results/li_gshare_1MB.txt:bpred_2lev.misses             75510 # total number of misses
results/li_gshare_256KB.txt:bpred_2lev.misses             77910 # total number of misses
results/li_gshare_32KB.txt:bpred_2lev.misses             85598 # total number of misses
results/li_gshare_512KB.txt:bpred_2lev.misses             76766 # total number of misses
results/li_gshare_64KB.txt:bpred_2lev.misses             80081 # total number of misses
results/m88ksim_gshare_128KB.txt:bpred_2lev.misses              7033 # total number of misses
results/m88ksim_gshare_16KB.txt:bpred_2lev.misses              7774 # total number of misses
results/m88ksim_gshare_1MB.txt:bpred_2lev.misses              7189 # total number of misses
results/m88ksim_gshare_256KB.txt:bpred_2lev.misses              7012 # total number of misses
results/m88ksim_gshare_32KB.txt:bpred_2lev.misses              6990 # total number of misses
results/m88ksim_gshare_512KB.txt:bpred_2lev.misses              7127 # total number of misses
results/m88ksim_gshare_64KB.txt:bpred_2lev.misses              6978 # total number of misses
results/perl_gshare_128KB.txt:bpred_2lev.misses             38550 # total number of misses
results/perl_gshare_16KB.txt:bpred_2lev.misses             44358 # total number of misses
results/perl_gshare_1MB.txt:bpred_2lev.misses             38580 # total number of misses
results/perl_gshare_256KB.txt:bpred_2lev.misses             38472 # total number of misses
results/perl_gshare_32KB.txt:bpred_2lev.misses             41449 # total number of misses
results/perl_gshare_512KB.txt:bpred_2lev.misses             38409 # total number of misses
results/perl_gshare_64KB.txt:bpred_2lev.misses             39506 # total number of misses
results/vortex_gshare_128KB.txt:bpred_2lev.misses              5336 # total number of misses
results/vortex_gshare_16KB.txt:bpred_2lev.misses              5277 # total number of misses
results/vortex_gshare_1MB.txt:bpred_2lev.misses              5776 # total number of misses
results/vortex_gshare_256KB.txt:bpred_2lev.misses              5482 # total number of misses
results/vortex_gshare_32KB.txt:bpred_2lev.misses              5193 # total number of misses
results/vortex_gshare_512KB.txt:bpred_2lev.misses              5630 # total number of misses
results/vortex_gshare_64KB.txt:bpred_2lev.misses              5290 # total number of misses
