results/fpppp_tsbp_disabled_128KB.txt:bpred_tsbp.misses               751 # total number of misses
results/fpppp_tsbp_disabled_16KB.txt:bpred_tsbp.misses               720 # total number of misses
results/fpppp_tsbp_disabled_1MB.txt:bpred_tsbp.misses               790 # total number of misses
results/fpppp_tsbp_disabled_256KB.txt:bpred_tsbp.misses               772 # total number of misses
results/fpppp_tsbp_disabled_32KB.txt:bpred_tsbp.misses               722 # total number of misses
results/fpppp_tsbp_disabled_512KB.txt:bpred_tsbp.misses               779 # total number of misses
results/fpppp_tsbp_disabled_64KB.txt:bpred_tsbp.misses               737 # total number of misses
results/gcc_tsbp_disabled_128KB.txt:bpred_tsbp.misses            164116 # total number of misses
results/gcc_tsbp_disabled_16KB.txt:bpred_tsbp.misses            217066 # total number of misses
results/gcc_tsbp_disabled_1MB.txt:bpred_tsbp.misses            150635 # total number of misses
results/gcc_tsbp_disabled_256KB.txt:bpred_tsbp.misses            156100 # total number of misses
results/gcc_tsbp_disabled_32KB.txt:bpred_tsbp.misses            197496 # total number of misses
results/gcc_tsbp_disabled_512KB.txt:bpred_tsbp.misses            151755 # total number of misses
results/gcc_tsbp_disabled_64KB.txt:bpred_tsbp.misses            177825 # total number of misses
results/go_tsbp_disabled_128KB.txt:bpred_tsbp.misses            134407 # total number of misses
results/go_tsbp_disabled_16KB.txt:bpred_tsbp.misses            171267 # total number of misses
results/go_tsbp_disabled_1MB.txt:bpred_tsbp.misses            131452 # total number of misses
results/go_tsbp_disabled_256KB.txt:bpred_tsbp.misses            132172 # total number of misses
results/go_tsbp_disabled_32KB.txt:bpred_tsbp.misses            154548 # total number of misses
results/go_tsbp_disabled_512KB.txt:bpred_tsbp.misses            130637 # total number of misses
results/go_tsbp_disabled_64KB.txt:bpred_tsbp.misses            142377 # total number of misses
results/ijpeg_tsbp_disabled_128KB.txt:bpred_tsbp.misses               373 # total number of misses
results/ijpeg_tsbp_disabled_16KB.txt:bpred_tsbp.misses               358 # total number of misses
results/ijpeg_tsbp_disabled_1MB.txt:bpred_tsbp.misses               392 # total number of misses
results/ijpeg_tsbp_disabled_256KB.txt:bpred_tsbp.misses               378 # total number of misses
results/ijpeg_tsbp_disabled_32KB.txt:bpred_tsbp.misses               361 # total number of misses
results/ijpeg_tsbp_disabled_512KB.txt:bpred_tsbp.misses               389 # total number of misses
results/ijpeg_tsbp_disabled_64KB.txt:bpred_tsbp.misses               364 # total number of misses
results/li_tsbp_disabled_128KB.txt:bpred_tsbp.misses             78799 # total number of misses
results/li_tsbp_disabled_16KB.txt:bpred_tsbp.misses             88733 # total number of misses
results/li_tsbp_disabled_1MB.txt:bpred_tsbp.misses             75510 # total number of misses
results/li_tsbp_disabled_256KB.txt:bpred_tsbp.misses             77910 # total number of misses
results/li_tsbp_disabled_32KB.txt:bpred_tsbp.misses             85598 # total number of misses
results/li_tsbp_disabled_512KB.txt:bpred_tsbp.misses             76766 # total number of misses
results/li_tsbp_disabled_64KB.txt:bpred_tsbp.misses             80081 # total number of misses
results/m88ksim_tsbp_disabled_128KB.txt:bpred_tsbp.misses              7033 # total number of misses
results/m88ksim_tsbp_disabled_16KB.txt:bpred_tsbp.misses              7774 # total number of misses
results/m88ksim_tsbp_disabled_1MB.txt:bpred_tsbp.misses              7189 # total number of misses
results/m88ksim_tsbp_disabled_256KB.txt:bpred_tsbp.misses              7012 # total number of misses
results/m88ksim_tsbp_disabled_32KB.txt:bpred_tsbp.misses              6990 # total number of misses
results/m88ksim_tsbp_disabled_512KB.txt:bpred_tsbp.misses              7127 # total number of misses
results/m88ksim_tsbp_disabled_64KB.txt:bpred_tsbp.misses              6978 # total number of misses
results/perl_tsbp_disabled_128KB.txt:bpred_tsbp.misses             38550 # total number of misses
results/perl_tsbp_disabled_16KB.txt:bpred_tsbp.misses             44358 # total number of misses
results/perl_tsbp_disabled_1MB.txt:bpred_tsbp.misses             38580 # total number of misses
results/perl_tsbp_disabled_256KB.txt:bpred_tsbp.misses             38472 # total number of misses
results/perl_tsbp_disabled_32KB.txt:bpred_tsbp.misses             41449 # total number of misses
results/perl_tsbp_disabled_512KB.txt:bpred_tsbp.misses             38409 # total number of misses
results/perl_tsbp_disabled_64KB.txt:bpred_tsbp.misses             39506 # total number of misses
results/vortex_tsbp_disabled_128KB.txt:bpred_tsbp.misses              5336 # total number of misses
results/vortex_tsbp_disabled_16KB.txt:bpred_tsbp.misses              5277 # total number of misses
results/vortex_tsbp_disabled_1MB.txt:bpred_tsbp.misses              5776 # total number of misses
results/vortex_tsbp_disabled_256KB.txt:bpred_tsbp.misses              5482 # total number of misses
results/vortex_tsbp_disabled_32KB.txt:bpred_tsbp.misses              5193 # total number of misses
results/vortex_tsbp_disabled_512KB.txt:bpred_tsbp.misses              5630 # total number of misses
results/vortex_tsbp_disabled_64KB.txt:bpred_tsbp.misses              5290 # total number of misses
