bench,bpred,size,metric,value
fpppp,mbp,512KB,bpred_jr_rate,0.8102
fpppp,mbp,64KB,bpred_jr_rate,0.8102
gcc,mbp,128KB,bpred_jr_rate,0.7735
gcc,mbp,16KB,bpred_jr_rate,0.7709
gcc,mbp,1MB,bpred_jr_rate,0.7736
gcc,mbp,256KB,bpred_jr_rate,0.7735
gcc,mbp,32KB,bpred_jr_rate,0.7725
gcc,mbp,512KB,bpred_jr_rate,0.7733
gcc,mbp,64KB,bpred_jr_rate,0.7729
go,mbp,128KB,bpred_jr_rate,0.9284
go,mbp,16KB,bpred_jr_rate,0.9286
go,mbp,1MB,bpred_jr_rate,0.9298
go,mbp,256KB,bpred_jr_rate,0.9275
go,mbp,32KB,bpred_jr_rate,0.9306
go,mbp,512KB,bpred_jr_rate,0.9292
go,mbp,64KB,bpred_jr_rate,0.9282
ijpeg,mbp,128KB,bpred_jr_rate,1.0000
ijpeg,mbp,16KB,bpred_jr_rate,1.0000
ijpeg,mbp,1MB,bpred_jr_rate,1.0000
ijpeg,mbp,256KB,bpred_jr_rate,1.0000
ijpeg,mbp,32KB,bpred_jr_rate,1.0000
ijpeg,mbp,512KB,bpred_jr_rate,1.0000
ijpeg,mbp,64KB,bpred_jr_rate,1.0000
li,mbp,128KB,bpred_jr_rate,0.9138
li,mbp,16KB,bpred_jr_rate,0.9119
li,mbp,1MB,bpred_jr_rate,0.9129
li,mbp,256KB,bpred_jr_rate,0.9125
li,mbp,32KB,bpred_jr_rate,0.9108
li,mbp,512KB,bpred_jr_rate,0.9134
li,mbp,64KB,bpred_jr_rate,0.9119
m88ksim,mbp,128KB,bpred_jr_rate,0.8617
m88ksim,mbp,16KB,bpred_jr_rate,0.8532
m88ksim,mbp,1MB,bpred_jr_rate,0.8777
m88ksim,mbp,256KB,bpred_jr_rate,0.8709
m88ksim,mbp,32KB,bpred_jr_rate,0.8315
m88ksim,mbp,512KB,bpred_jr_rate,0.8751
m88ksim,mbp,64KB,bpred_jr_rate,0.8331
perl,mbp,128KB,bpred_jr_rate,0.6423
perl,mbp,16KB,bpred_jr_rate,0.6423
perl,mbp,1MB,bpred_jr_rate,0.6423
perl,mbp,256KB,bpred_jr_rate,0.6423
perl,mbp,32KB,bpred_jr_rate,0.6423
perl,mbp,512KB,bpred_jr_rate,0.6422
perl,mbp,64KB,bpred_jr_rate,0.6423
vortex,mbp,128KB,bpred_jr_rate,0.8626
vortex,mbp,16KB,bpred_jr_rate,0.8615
vortex,mbp,1MB,bpred_jr_rate,0.8599
vortex,mbp,256KB,bpred_jr_rate,0.8626
vortex,mbp,32KB,bpred_jr_rate,0.8646
vortex,mbp,512KB,bpred_jr_rate,0.8588
vortex,mbp,64KB,bpred_jr_rate,0.8662
fpppp,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6667
gcc,mbp,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,64KB,bpred_jr_non_ras_rate.PP,0.3227
go,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6449
ijpeg,mbp,128KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,16KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,1MB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,256KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,32KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,512KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,64KB,bpred_jr_non_ras_rate.PP,0.9929
li,mbp,128KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,16KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,1MB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,256KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,32KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,512KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,64KB,bpred_jr_non_ras_rate.PP,0.8256
m88ksim,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6769
perl,mbp,128KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,16KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,1MB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,256KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,32KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,512KB,bpred_jr_non_ras_rate.PP,0.1495
perl,mbp,64KB,bpred_jr_non_ras_rate.PP,0.1495
vortex,mbp,128KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,16KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,1MB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,256KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,32KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,512KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,mbp,64KB,bpred_jr_non_ras_rate.PP,0.5754
fpppp,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,128KB,ras_rate.PP,0.8164
fpppp,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,16KB,ras_rate.PP,0.8164
fpppp,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,1MB,ras_rate.PP,0.8164
fpppp,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,256KB,ras_rate.PP,0.8164
fpppp,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,32KB,ras_rate.PP,0.8164
fpppp,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,512KB,ras_rate.PP,0.8164
fpppp,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,mbp,64KB,ras_rate.PP,0.8164
gcc,mbp,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,128KB,ras_rate.PP,0.9706
gcc,mbp,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,16KB,ras_rate.PP,0.9670
gcc,mbp,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,1MB,ras_rate.PP,0.9708
gcc,mbp,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,256KB,ras_rate.PP,0.9706
gcc,mbp,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,32KB,ras_rate.PP,0.9691
gcc,mbp,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,512KB,ras_rate.PP,0.9703
gcc,mbp,64KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,mbp,64KB,ras_rate.PP,0.9698
go,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,128KB,ras_rate.PP,0.9760
go,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,16KB,ras_rate.PP,0.9762
go,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,1MB,ras_rate.PP,0.9777
go,mbp,256KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,256KB,ras_rate.PP,0.9749
go,mbp,32KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,32KB,ras_rate.PP,0.9786
go,mbp,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,512KB,ras_rate.PP,0.9769
go,mbp,64KB,bpred_jr_non_ras_rate.PP,0.6449
go,mbp,64KB,ras_rate.PP,0.9758
ijpeg,mbp,128KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,128KB,ras_rate.PP,1.0000
ijpeg,mbp,16KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,16KB,ras_rate.PP,1.0000
ijpeg,mbp,1MB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,1MB,ras_rate.PP,1.0000
ijpeg,mbp,256KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,256KB,ras_rate.PP,1.0000
ijpeg,mbp,32KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,32KB,ras_rate.PP,1.0000
ijpeg,mbp,512KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,512KB,ras_rate.PP,1.0000
ijpeg,mbp,64KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,mbp,64KB,ras_rate.PP,1.0000
li,mbp,128KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,128KB,ras_rate.PP,0.9370
li,mbp,16KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,16KB,ras_rate.PP,0.9347
li,mbp,1MB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,1MB,ras_rate.PP,0.9360
li,mbp,256KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,256KB,ras_rate.PP,0.9354
li,mbp,32KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,32KB,ras_rate.PP,0.9333
li,mbp,512KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,512KB,ras_rate.PP,0.9365
li,mbp,64KB,bpred_jr_non_ras_rate.PP,0.8256
li,mbp,64KB,ras_rate.PP,0.9346
m88ksim,mbp,128KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,128KB,ras_rate.PP,0.8981
m88ksim,mbp,16KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,16KB,ras_rate.PP,0.8879
m88ksim,mbp,1MB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,mbp,1MB,ras_rate.PP,0.9172
