bench,bpred,size,metric,value
fpppp,ob,512KB,bpred_dir_rate,0.7376
fpppp,ob,512KB,divide,by,zero>
fpppp,ob,64KB,bpred_dir_rate,0.7518
fpppp,ob,64KB,divide,by,zero>
gcc,ob,128KB,bpred_dir_rate,0.9203
gcc,ob,128KB,reverse_bpred_dir_rate,1.0000
gcc,ob,16KB,bpred_dir_rate,0.8947
gcc,ob,16KB,reverse_bpred_dir_rate,1.0000
gcc,ob,1MB,bpred_dir_rate,0.9269
gcc,ob,1MB,reverse_bpred_dir_rate,1.0000
gcc,ob,256KB,bpred_dir_rate,0.9242
gcc,ob,256KB,reverse_bpred_dir_rate,1.0000
gcc,ob,32KB,bpred_dir_rate,0.9041
gcc,ob,32KB,reverse_bpred_dir_rate,1.0000
gcc,ob,512KB,bpred_dir_rate,0.9263
gcc,ob,512KB,reverse_bpred_dir_rate,1.0000
gcc,ob,64KB,bpred_dir_rate,0.9137
gcc,ob,64KB,reverse_bpred_dir_rate,1.0000
go,ob,128KB,bpred_dir_rate,0.9258
go,ob,128KB,reverse_bpred_dir_rate,1.0000
go,ob,16KB,bpred_dir_rate,0.9054
go,ob,16KB,reverse_bpred_dir_rate,1.0000
go,ob,1MB,bpred_dir_rate,0.9274
go,ob,1MB,reverse_bpred_dir_rate,1.0000
go,ob,256KB,bpred_dir_rate,0.9270
go,ob,256KB,reverse_bpred_dir_rate,1.0000
go,ob,32KB,bpred_dir_rate,0.9146
go,ob,32KB,reverse_bpred_dir_rate,1.0000
go,ob,512KB,bpred_dir_rate,0.9278
go,ob,512KB,reverse_bpred_dir_rate,1.0000
go,ob,64KB,bpred_dir_rate,0.9214
go,ob,64KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,128KB,bpred_dir_rate,0.9998
ijpeg,ob,128KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,16KB,bpred_dir_rate,0.9998
ijpeg,ob,16KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,1MB,bpred_dir_rate,0.9998
ijpeg,ob,1MB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,256KB,bpred_dir_rate,0.9998
ijpeg,ob,256KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,32KB,bpred_dir_rate,0.9998
ijpeg,ob,32KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,512KB,bpred_dir_rate,0.9998
ijpeg,ob,512KB,reverse_bpred_dir_rate,1.0000
ijpeg,ob,64KB,bpred_dir_rate,0.9998
ijpeg,ob,64KB,reverse_bpred_dir_rate,1.0000
li,ob,128KB,bpred_dir_rate,0.9657
li,ob,128KB,reverse_bpred_dir_rate,1.0000
li,ob,16KB,bpred_dir_rate,0.9614
li,ob,16KB,reverse_bpred_dir_rate,1.0000
li,ob,1MB,bpred_dir_rate,0.9671
li,ob,1MB,reverse_bpred_dir_rate,1.0000
li,ob,256KB,bpred_dir_rate,0.9661
li,ob,256KB,reverse_bpred_dir_rate,1.0000
li,ob,32KB,bpred_dir_rate,0.9627
li,ob,32KB,reverse_bpred_dir_rate,1.0000
li,ob,512KB,bpred_dir_rate,0.9666
li,ob,512KB,reverse_bpred_dir_rate,1.0000
li,ob,64KB,bpred_dir_rate,0.9651
li,ob,64KB,reverse_bpred_dir_rate,1.0000
m88ksim,ob,128KB,bpred_dir_rate,0.9411
m88ksim,ob,128KB,divide,by,zero>
m88ksim,ob,16KB,bpred_dir_rate,0.9349
m88ksim,ob,16KB,divide,by,zero>
m88ksim,ob,1MB,bpred_dir_rate,0.9397
m88ksim,ob,1MB,divide,by,zero>
m88ksim,ob,256KB,bpred_dir_rate,0.9412
m88ksim,ob,256KB,divide,by,zero>
m88ksim,ob,32KB,bpred_dir_rate,0.9414
m88ksim,ob,32KB,divide,by,zero>
m88ksim,ob,512KB,bpred_dir_rate,0.9403
m88ksim,ob,512KB,divide,by,zero>
m88ksim,ob,64KB,bpred_dir_rate,0.9415
m88ksim,ob,64KB,divide,by,zero>
perl,ob,128KB,bpred_dir_rate,0.9811
perl,ob,128KB,reverse_bpred_dir_rate,1.0000
perl,ob,16KB,bpred_dir_rate,0.9782
perl,ob,16KB,reverse_bpred_dir_rate,1.0000
perl,ob,1MB,bpred_dir_rate,0.9811
perl,ob,1MB,reverse_bpred_dir_rate,1.0000
perl,ob,256KB,bpred_dir_rate,0.9811
perl,ob,256KB,reverse_bpred_dir_rate,1.0000
perl,ob,32KB,bpred_dir_rate,0.9797
perl,ob,32KB,reverse_bpred_dir_rate,1.0000
perl,ob,512KB,bpred_dir_rate,0.9812
perl,ob,512KB,reverse_bpred_dir_rate,1.0000
perl,ob,64KB,bpred_dir_rate,0.9806
perl,ob,64KB,reverse_bpred_dir_rate,1.0000
vortex,ob,128KB,bpred_dir_rate,0.9369
vortex,ob,128KB,divide,by,zero>
vortex,ob,16KB,bpred_dir_rate,0.9376
vortex,ob,16KB,divide,by,zero>
vortex,ob,1MB,bpred_dir_rate,0.9317
vortex,ob,1MB,divide,by,zero>
vortex,ob,256KB,bpred_dir_rate,0.9352
vortex,ob,256KB,divide,by,zero>
vortex,ob,32KB,bpred_dir_rate,0.9386
vortex,ob,32KB,divide,by,zero>
vortex,ob,512KB,bpred_dir_rate,0.9334
vortex,ob,512KB,divide,by,zero>
vortex,ob,64KB,bpred_dir_rate,0.9374
vortex,ob,64KB,divide,by,zero>
fpppp,ob,128KB,bpred_jr_rate,0.8148
fpppp,ob,128KB,divide,by,zero>
fpppp,ob,16KB,bpred_jr_rate,0.8148
fpppp,ob,16KB,divide,by,zero>
fpppp,ob,1MB,bpred_jr_rate,0.8148
fpppp,ob,1MB,divide,by,zero>
fpppp,ob,256KB,bpred_jr_rate,0.8148
fpppp,ob,256KB,divide,by,zero>
fpppp,ob,32KB,bpred_jr_rate,0.8148
fpppp,ob,32KB,divide,by,zero>
fpppp,ob,512KB,bpred_jr_rate,0.8148
fpppp,ob,512KB,divide,by,zero>
fpppp,ob,64KB,bpred_jr_rate,0.8148
fpppp,ob,64KB,divide,by,zero>
gcc,ob,128KB,bpred_jr_rate,0.7738
gcc,ob,128KB,reverse_bpred_jr_rate,0.0817
gcc,ob,16KB,bpred_jr_rate,0.7714
gcc,ob,16KB,reverse_bpred_jr_rate,0.0817
gcc,ob,1MB,bpred_jr_rate,0.7745
gcc,ob,1MB,reverse_bpred_jr_rate,0.0817
gcc,ob,256KB,bpred_jr_rate,0.7739
gcc,ob,256KB,reverse_bpred_jr_rate,0.0817
gcc,ob,32KB,bpred_jr_rate,0.7724
gcc,ob,32KB,reverse_bpred_jr_rate,0.0817
gcc,ob,512KB,bpred_jr_rate,0.7738
gcc,ob,512KB,reverse_bpred_jr_rate,0.0817
gcc,ob,64KB,bpred_jr_rate,0.7732
gcc,ob,64KB,reverse_bpred_jr_rate,0.0817
go,ob,128KB,bpred_jr_rate,0.9355
go,ob,128KB,reverse_bpred_jr_rate,0.0468
go,ob,16KB,bpred_jr_rate,0.9309
go,ob,16KB,reverse_bpred_jr_rate,0.0468
go,ob,1MB,bpred_jr_rate,0.9352
go,ob,1MB,reverse_bpred_jr_rate,0.0468
go,ob,256KB,bpred_jr_rate,0.9363
go,ob,256KB,reverse_bpred_jr_rate,0.0468
go,ob,32KB,bpred_jr_rate,0.9334
go,ob,32KB,reverse_bpred_jr_rate,0.0468
go,ob,512KB,bpred_jr_rate,0.9358
go,ob,512KB,reverse_bpred_jr_rate,0.0468
go,ob,64KB,bpred_jr_rate,0.9355
go,ob,64KB,reverse_bpred_jr_rate,0.0468
ijpeg,ob,128KB,bpred_jr_rate,1.0000
ijpeg,ob,128KB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,16KB,bpred_jr_rate,1.0000
ijpeg,ob,16KB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,1MB,bpred_jr_rate,1.0000
ijpeg,ob,1MB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,256KB,bpred_jr_rate,1.0000
ijpeg,ob,256KB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,32KB,bpred_jr_rate,1.0000
ijpeg,ob,32KB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,512KB,bpred_jr_rate,1.0000
ijpeg,ob,512KB,reverse_bpred_jr_rate,0.0000
ijpeg,ob,64KB,bpred_jr_rate,1.0000
ijpeg,ob,64KB,reverse_bpred_jr_rate,0.0000
li,ob,128KB,bpred_jr_rate,0.9145
li,ob,128KB,reverse_bpred_jr_rate,0.0135
li,ob,16KB,bpred_jr_rate,0.9121
li,ob,16KB,reverse_bpred_jr_rate,0.0135
li,ob,1MB,bpred_jr_rate,0.9139
li,ob,1MB,reverse_bpred_jr_rate,0.0135
li,ob,256KB,bpred_jr_rate,0.9138
li,ob,256KB,reverse_bpred_jr_rate,0.0135
li,ob,32KB,bpred_jr_rate,0.9135
li,ob,32KB,reverse_bpred_jr_rate,0.0135
li,ob,512KB,bpred_jr_rate,0.9141
li,ob,512KB,reverse_bpred_jr_rate,0.0135
li,ob,64KB,bpred_jr_rate,0.9152
li,ob,64KB,reverse_bpred_jr_rate,0.0135
m88ksim,ob,128KB,bpred_jr_rate,0.8779
m88ksim,ob,128KB,divide,by,zero>
m88ksim,ob,16KB,bpred_jr_rate,0.8815
m88ksim,ob,16KB,divide,by,zero>
m88ksim,ob,1MB,bpred_jr_rate,0.8838
m88ksim,ob,1MB,divide,by,zero>
m88ksim,ob,256KB,bpred_jr_rate,0.8746
m88ksim,ob,256KB,divide,by,zero>
m88ksim,ob,32KB,bpred_jr_rate,0.8805
m88ksim,ob,32KB,divide,by,zero>
m88ksim,ob,512KB,bpred_jr_rate,0.8709
m88ksim,ob,512KB,divide,by,zero>
m88ksim,ob,64KB,bpred_jr_rate,0.8801
m88ksim,ob,64KB,divide,by,zero>
perl,ob,128KB,bpred_jr_rate,0.6423
perl,ob,128KB,reverse_bpred_jr_rate,0.0127
perl,ob,16KB,bpred_jr_rate,0.6423
perl,ob,16KB,reverse_bpred_jr_rate,0.0127
perl,ob,1MB,bpred_jr_rate,0.6423
perl,ob,1MB,reverse_bpred_jr_rate,0.0127
perl,ob,256KB,bpred_jr_rate,0.6423
perl,ob,256KB,reverse_bpred_jr_rate,0.0127
perl,ob,32KB,bpred_jr_rate,0.6423
perl,ob,32KB,reverse_bpred_jr_rate,0.0127
perl,ob,512KB,bpred_jr_rate,0.6423
perl,ob,512KB,reverse_bpred_jr_rate,0.0127
perl,ob,64KB,bpred_jr_rate,0.6424
perl,ob,64KB,reverse_bpred_jr_rate,0.0127
vortex,ob,128KB,bpred_jr_rate,0.8651
vortex,ob,128KB,divide,by,zero>
vortex,ob,16KB,bpred_jr_rate,0.8718
vortex,ob,16KB,divide,by,zero>
vortex,ob,1MB,bpred_jr_rate,0.8669
vortex,ob,1MB,divide,by,zero>
vortex,ob,256KB,bpred_jr_rate,0.8693
vortex,ob,256KB,divide,by,zero>
vortex,ob,32KB,bpred_jr_rate,0.8747
vortex,ob,32KB,divide,by,zero>
vortex,ob,512KB,bpred_jr_rate,0.8617
vortex,ob,512KB,divide,by,zero>
vortex,ob,64KB,bpred_jr_rate,0.8715
vortex,ob,64KB,divide,by,zero>
fpppp,ob,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,128KB,divide,by,zero>
fpppp,ob,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,16KB,divide,by,zero>
fpppp,ob,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,1MB,divide,by,zero>
fpppp,ob,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,256KB,divide,by,zero>
fpppp,ob,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,32KB,divide,by,zero>
fpppp,ob,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,512KB,divide,by,zero>
fpppp,ob,64KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,ob,64KB,divide,by,zero>
gcc,ob,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,ob,64KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
go,ob,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,ob,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
