bench,bpred,size,metric,value
perl,tsbp_disabled,16KB,bpred_dir_rate,0.9782
perl,tsbp_disabled,1MB,bpred_dir_rate,0.9811
perl,tsbp_disabled,256KB,bpred_dir_rate,0.9811
perl,tsbp_disabled,32KB,bpred_dir_rate,0.9797
perl,tsbp_disabled,512KB,bpred_dir_rate,0.9812
perl,tsbp_disabled,64KB,bpred_dir_rate,0.9806
vortex,tsbp_disabled,128KB,bpred_dir_rate,0.9369
vortex,tsbp_disabled,16KB,bpred_dir_rate,0.9376
vortex,tsbp_disabled,1MB,bpred_dir_rate,0.9317
vortex,tsbp_disabled,256KB,bpred_dir_rate,0.9352
vortex,tsbp_disabled,32KB,bpred_dir_rate,0.9386
vortex,tsbp_disabled,512KB,bpred_dir_rate,0.9334
vortex,tsbp_disabled,64KB,bpred_dir_rate,0.9374
fpppp,tsbp_disabled,128KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,16KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,1MB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,256KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,32KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,512KB,bpred_jr_rate,0.8148
fpppp,tsbp_disabled,64KB,bpred_jr_rate,0.8148
gcc,tsbp_disabled,128KB,bpred_jr_rate,0.7738
gcc,tsbp_disabled,16KB,bpred_jr_rate,0.7714
gcc,tsbp_disabled,1MB,bpred_jr_rate,0.7745
gcc,tsbp_disabled,256KB,bpred_jr_rate,0.7739
gcc,tsbp_disabled,32KB,bpred_jr_rate,0.7724
gcc,tsbp_disabled,512KB,bpred_jr_rate,0.7738
gcc,tsbp_disabled,64KB,bpred_jr_rate,0.7732
go,tsbp_disabled,128KB,bpred_jr_rate,0.9355
go,tsbp_disabled,16KB,bpred_jr_rate,0.9309
go,tsbp_disabled,1MB,bpred_jr_rate,0.9352
go,tsbp_disabled,256KB,bpred_jr_rate,0.9363
go,tsbp_disabled,32KB,bpred_jr_rate,0.9334
go,tsbp_disabled,512KB,bpred_jr_rate,0.9358
go,tsbp_disabled,64KB,bpred_jr_rate,0.9355
ijpeg,tsbp_disabled,128KB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,16KB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,1MB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,256KB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,32KB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,512KB,bpred_jr_rate,1.0000
ijpeg,tsbp_disabled,64KB,bpred_jr_rate,1.0000
li,tsbp_disabled,128KB,bpred_jr_rate,0.9145
li,tsbp_disabled,16KB,bpred_jr_rate,0.9121
li,tsbp_disabled,1MB,bpred_jr_rate,0.9139
li,tsbp_disabled,256KB,bpred_jr_rate,0.9138
li,tsbp_disabled,32KB,bpred_jr_rate,0.9135
li,tsbp_disabled,512KB,bpred_jr_rate,0.9141
li,tsbp_disabled,64KB,bpred_jr_rate,0.9152
m88ksim,tsbp_disabled,128KB,bpred_jr_rate,0.8779
m88ksim,tsbp_disabled,16KB,bpred_jr_rate,0.8819
m88ksim,tsbp_disabled,1MB,bpred_jr_rate,0.8838
m88ksim,tsbp_disabled,256KB,bpred_jr_rate,0.8746
m88ksim,tsbp_disabled,32KB,bpred_jr_rate,0.8805
m88ksim,tsbp_disabled,512KB,bpred_jr_rate,0.8709
m88ksim,tsbp_disabled,64KB,bpred_jr_rate,0.8801
perl,tsbp_disabled,128KB,bpred_jr_rate,0.6423
perl,tsbp_disabled,16KB,bpred_jr_rate,0.6423
perl,tsbp_disabled,1MB,bpred_jr_rate,0.6423
perl,tsbp_disabled,256KB,bpred_jr_rate,0.6423
perl,tsbp_disabled,32KB,bpred_jr_rate,0.6423
perl,tsbp_disabled,512KB,bpred_jr_rate,0.6423
perl,tsbp_disabled,64KB,bpred_jr_rate,0.6424
vortex,tsbp_disabled,128KB,bpred_jr_rate,0.8651
vortex,tsbp_disabled,16KB,bpred_jr_rate,0.8718
vortex,tsbp_disabled,1MB,bpred_jr_rate,0.8669
vortex,tsbp_disabled,256KB,bpred_jr_rate,0.8693
vortex,tsbp_disabled,32KB,bpred_jr_rate,0.8747
vortex,tsbp_disabled,512KB,bpred_jr_rate,0.8617
vortex,tsbp_disabled,64KB,bpred_jr_rate,0.8715
fpppp,tsbp_disabled,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,tsbp_disabled,64KB,bpred_jr_non_ras_rate.PP,0.6667
gcc,tsbp_disabled,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp_disabled,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp_disabled,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp_disabled,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,tsbp_disabled,32KB,bpred_jr_non_ras_rate.PP,0.3227
