results/perl_tsbp_init_1s_1MB.txt:bpred_tsbp.ras_rate.PP    0.9599 # RAS prediction rate (i.e., RAS hits/used RAS)
results/perl_tsbp_init_1s_256KB.txt:bpred_tsbp.ras_rate.PP    0.9599 # RAS prediction rate (i.e., RAS hits/used RAS)
results/perl_tsbp_init_1s_32KB.txt:bpred_tsbp.ras_rate.PP    0.9599 # RAS prediction rate (i.e., RAS hits/used RAS)
results/perl_tsbp_init_1s_512KB.txt:bpred_tsbp.ras_rate.PP    0.9599 # RAS prediction rate (i.e., RAS hits/used RAS)
results/perl_tsbp_init_1s_64KB.txt:bpred_tsbp.ras_rate.PP    0.9599 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_128KB.txt:bpred_tsbp.ras_rate.PP    0.9023 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_16KB.txt:bpred_tsbp.ras_rate.PP    0.8704 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_1MB.txt:bpred_tsbp.ras_rate.PP    0.8846 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_256KB.txt:bpred_tsbp.ras_rate.PP    0.8859 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_32KB.txt:bpred_tsbp.ras_rate.PP    0.8844 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_512KB.txt:bpred_tsbp.ras_rate.PP    0.8796 # RAS prediction rate (i.e., RAS hits/used RAS)
results/vortex_tsbp_init_1s_64KB.txt:bpred_tsbp.ras_rate.PP    0.9036 # RAS prediction rate (i.e., RAS hits/used RAS)
