bench,bpred,size,metric,value
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,256KB,bpred_dir_rate,0.8791
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,32KB,bpred_dir_rate,0.8791
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,512KB,bpred_dir_rate,0.8791
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,64KB,bpred_dir_rate,0.8791
fpppp,bimod,64KB,divide,by,zero>
gcc,bimod,128KB,bpred_dir_rate,0.9177
gcc,bimod,128KB,reverse_bpred_dir_rate,1.0000
gcc,bimod,16KB,bpred_dir_rate,0.9125
gcc,bimod,16KB,reverse_bpred_dir_rate,1.0000
gcc,bimod,1MB,bpred_dir_rate,0.9178
gcc,bimod,1MB,reverse_bpred_dir_rate,1.0000
gcc,bimod,256KB,bpred_dir_rate,0.9178
gcc,bimod,256KB,reverse_bpred_dir_rate,1.0000
gcc,bimod,32KB,bpred_dir_rate,0.9137
gcc,bimod,32KB,reverse_bpred_dir_rate,1.0000
gcc,bimod,512KB,bpred_dir_rate,0.9178
gcc,bimod,512KB,reverse_bpred_dir_rate,1.0000
gcc,bimod,64KB,bpred_dir_rate,0.9173
gcc,bimod,64KB,reverse_bpred_dir_rate,1.0000
go,bimod,128KB,bpred_dir_rate,0.9155
go,bimod,128KB,reverse_bpred_dir_rate,1.0000
go,bimod,16KB,bpred_dir_rate,0.9150
go,bimod,16KB,reverse_bpred_dir_rate,1.0000
go,bimod,1MB,bpred_dir_rate,0.9155
go,bimod,1MB,reverse_bpred_dir_rate,1.0000
go,bimod,256KB,bpred_dir_rate,0.9155
go,bimod,256KB,reverse_bpred_dir_rate,1.0000
go,bimod,32KB,bpred_dir_rate,0.9154
go,bimod,32KB,reverse_bpred_dir_rate,1.0000
go,bimod,512KB,bpred_dir_rate,0.9155
go,bimod,512KB,reverse_bpred_dir_rate,1.0000
go,bimod,64KB,bpred_dir_rate,0.9155
go,bimod,64KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,128KB,bpred_dir_rate,0.9999
ijpeg,bimod,128KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,16KB,bpred_dir_rate,0.9999
ijpeg,bimod,16KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,1MB,bpred_dir_rate,0.9999
ijpeg,bimod,1MB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,256KB,bpred_dir_rate,0.9999
ijpeg,bimod,256KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,32KB,bpred_dir_rate,0.9999
ijpeg,bimod,32KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,512KB,bpred_dir_rate,0.9999
ijpeg,bimod,512KB,reverse_bpred_dir_rate,1.0000
ijpeg,bimod,64KB,bpred_dir_rate,0.9999
ijpeg,bimod,64KB,reverse_bpred_dir_rate,1.0000
li,bimod,128KB,bpred_dir_rate,0.9311
li,bimod,128KB,reverse_bpred_dir_rate,1.0000
li,bimod,16KB,bpred_dir_rate,0.9311
li,bimod,16KB,reverse_bpred_dir_rate,1.0000
li,bimod,1MB,bpred_dir_rate,0.9311
li,bimod,1MB,reverse_bpred_dir_rate,1.0000
li,bimod,256KB,bpred_dir_rate,0.9311
li,bimod,256KB,reverse_bpred_dir_rate,1.0000
li,bimod,32KB,bpred_dir_rate,0.9311
li,bimod,32KB,reverse_bpred_dir_rate,1.0000
li,bimod,512KB,bpred_dir_rate,0.9311
li,bimod,512KB,reverse_bpred_dir_rate,1.0000
li,bimod,64KB,bpred_dir_rate,0.9311
li,bimod,64KB,reverse_bpred_dir_rate,1.0000
m88ksim,bimod,128KB,bpred_dir_rate,0.9208
m88ksim,bimod,128KB,divide,by,zero>
m88ksim,bimod,16KB,bpred_dir_rate,0.9208
m88ksim,bimod,16KB,divide,by,zero>
m88ksim,bimod,1MB,bpred_dir_rate,0.9208
m88ksim,bimod,1MB,divide,by,zero>
m88ksim,bimod,256KB,bpred_dir_rate,0.9208
m88ksim,bimod,256KB,divide,by,zero>
m88ksim,bimod,32KB,bpred_dir_rate,0.9208
m88ksim,bimod,32KB,divide,by,zero>
m88ksim,bimod,512KB,bpred_dir_rate,0.9208
m88ksim,bimod,512KB,divide,by,zero>
m88ksim,bimod,64KB,bpred_dir_rate,0.9208
m88ksim,bimod,64KB,divide,by,zero>
perl,bimod,128KB,bpred_dir_rate,0.9609
perl,bimod,128KB,reverse_bpred_dir_rate,1.0000
perl,bimod,16KB,bpred_dir_rate,0.9608
perl,bimod,16KB,reverse_bpred_dir_rate,1.0000
perl,bimod,1MB,bpred_dir_rate,0.9609
perl,bimod,1MB,reverse_bpred_dir_rate,1.0000
perl,bimod,256KB,bpred_dir_rate,0.9609
perl,bimod,256KB,reverse_bpred_dir_rate,1.0000
perl,bimod,32KB,bpred_dir_rate,0.9609
perl,bimod,32KB,reverse_bpred_dir_rate,1.0000
perl,bimod,512KB,bpred_dir_rate,0.9609
perl,bimod,512KB,reverse_bpred_dir_rate,1.0000
perl,bimod,64KB,bpred_dir_rate,0.9609
perl,bimod,64KB,reverse_bpred_dir_rate,1.0000
vortex,bimod,128KB,bpred_dir_rate,0.9431
vortex,bimod,128KB,divide,by,zero>
vortex,bimod,16KB,bpred_dir_rate,0.9431
vortex,bimod,16KB,divide,by,zero>
vortex,bimod,1MB,bpred_dir_rate,0.9431
vortex,bimod,1MB,divide,by,zero>
vortex,bimod,256KB,bpred_dir_rate,0.9431
vortex,bimod,256KB,divide,by,zero>
vortex,bimod,32KB,bpred_dir_rate,0.9430
vortex,bimod,32KB,divide,by,zero>
vortex,bimod,512KB,bpred_dir_rate,0.9431
vortex,bimod,512KB,divide,by,zero>
vortex,bimod,64KB,bpred_dir_rate,0.9430
vortex,bimod,64KB,divide,by,zero>
fpppp,bimod,128KB,bpred_jr_rate,0.8148
fpppp,bimod,128KB,divide,by,zero>
fpppp,bimod,16KB,bpred_jr_rate,0.8148
fpppp,bimod,16KB,divide,by,zero>
fpppp,bimod,1MB,bpred_jr_rate,0.8148
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,256KB,bpred_jr_rate,0.8148
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,32KB,bpred_jr_rate,0.8148
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,512KB,bpred_jr_rate,0.8148
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,64KB,bpred_jr_rate,0.8148
fpppp,bimod,64KB,divide,by,zero>
gcc,bimod,128KB,bpred_jr_rate,0.7707
gcc,bimod,128KB,reverse_bpred_jr_rate,0.0817
gcc,bimod,16KB,bpred_jr_rate,0.7707
gcc,bimod,16KB,reverse_bpred_jr_rate,0.0817
gcc,bimod,1MB,bpred_jr_rate,0.7707
gcc,bimod,1MB,reverse_bpred_jr_rate,0.0817
gcc,bimod,256KB,bpred_jr_rate,0.7707
gcc,bimod,256KB,reverse_bpred_jr_rate,0.0817
gcc,bimod,32KB,bpred_jr_rate,0.7706
gcc,bimod,32KB,reverse_bpred_jr_rate,0.0817
gcc,bimod,512KB,bpred_jr_rate,0.7707
gcc,bimod,512KB,reverse_bpred_jr_rate,0.0817
gcc,bimod,64KB,bpred_jr_rate,0.7706
gcc,bimod,64KB,reverse_bpred_jr_rate,0.0817
go,bimod,128KB,bpred_jr_rate,0.9435
go,bimod,128KB,reverse_bpred_jr_rate,0.0468
go,bimod,16KB,bpred_jr_rate,0.9435
go,bimod,16KB,reverse_bpred_jr_rate,0.0468
go,bimod,1MB,bpred_jr_rate,0.9435
go,bimod,1MB,reverse_bpred_jr_rate,0.0468
go,bimod,256KB,bpred_jr_rate,0.9435
go,bimod,256KB,reverse_bpred_jr_rate,0.0468
go,bimod,32KB,bpred_jr_rate,0.9435
go,bimod,32KB,reverse_bpred_jr_rate,0.0468
go,bimod,512KB,bpred_jr_rate,0.9435
go,bimod,512KB,reverse_bpred_jr_rate,0.0468
go,bimod,64KB,bpred_jr_rate,0.9435
go,bimod,64KB,reverse_bpred_jr_rate,0.0468
ijpeg,bimod,128KB,bpred_jr_rate,1.0000
ijpeg,bimod,128KB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,16KB,bpred_jr_rate,1.0000
ijpeg,bimod,16KB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,1MB,bpred_jr_rate,1.0000
ijpeg,bimod,1MB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,256KB,bpred_jr_rate,1.0000
ijpeg,bimod,256KB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,32KB,bpred_jr_rate,1.0000
ijpeg,bimod,32KB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,512KB,bpred_jr_rate,1.0000
ijpeg,bimod,512KB,reverse_bpred_jr_rate,0.0000
ijpeg,bimod,64KB,bpred_jr_rate,1.0000
ijpeg,bimod,64KB,reverse_bpred_jr_rate,0.0000
li,bimod,128KB,bpred_jr_rate,0.8565
li,bimod,128KB,reverse_bpred_jr_rate,0.0135
li,bimod,16KB,bpred_jr_rate,0.8565
li,bimod,16KB,reverse_bpred_jr_rate,0.0135
li,bimod,1MB,bpred_jr_rate,0.8565
li,bimod,1MB,reverse_bpred_jr_rate,0.0135
li,bimod,256KB,bpred_jr_rate,0.8565
li,bimod,256KB,reverse_bpred_jr_rate,0.0135
li,bimod,32KB,bpred_jr_rate,0.8565
li,bimod,32KB,reverse_bpred_jr_rate,0.0135
li,bimod,512KB,bpred_jr_rate,0.8565
li,bimod,512KB,reverse_bpred_jr_rate,0.0135
li,bimod,64KB,bpred_jr_rate,0.8565
li,bimod,64KB,reverse_bpred_jr_rate,0.0135
m88ksim,bimod,128KB,bpred_jr_rate,0.8952
m88ksim,bimod,128KB,divide,by,zero>
m88ksim,bimod,16KB,bpred_jr_rate,0.8952
m88ksim,bimod,16KB,divide,by,zero>
m88ksim,bimod,1MB,bpred_jr_rate,0.8952
m88ksim,bimod,1MB,divide,by,zero>
m88ksim,bimod,256KB,bpred_jr_rate,0.8952
m88ksim,bimod,256KB,divide,by,zero>
m88ksim,bimod,32KB,bpred_jr_rate,0.8952
m88ksim,bimod,32KB,divide,by,zero>
m88ksim,bimod,512KB,bpred_jr_rate,0.8952
m88ksim,bimod,512KB,divide,by,zero>
m88ksim,bimod,64KB,bpred_jr_rate,0.8952
m88ksim,bimod,64KB,divide,by,zero>
perl,bimod,128KB,bpred_jr_rate,0.6426
perl,bimod,128KB,reverse_bpred_jr_rate,0.0127
perl,bimod,16KB,bpred_jr_rate,0.6426
perl,bimod,16KB,reverse_bpred_jr_rate,0.0127
perl,bimod,1MB,bpred_jr_rate,0.6426
perl,bimod,1MB,reverse_bpred_jr_rate,0.0127
perl,bimod,256KB,bpred_jr_rate,0.6426
perl,bimod,256KB,reverse_bpred_jr_rate,0.0127
perl,bimod,32KB,bpred_jr_rate,0.6426
perl,bimod,32KB,reverse_bpred_jr_rate,0.0127
perl,bimod,512KB,bpred_jr_rate,0.6426
perl,bimod,512KB,reverse_bpred_jr_rate,0.0127
perl,bimod,64KB,bpred_jr_rate,0.6426
perl,bimod,64KB,reverse_bpred_jr_rate,0.0127
vortex,bimod,128KB,bpred_jr_rate,0.8744
vortex,bimod,128KB,divide,by,zero>
vortex,bimod,16KB,bpred_jr_rate,0.8744
vortex,bimod,16KB,divide,by,zero>
vortex,bimod,1MB,bpred_jr_rate,0.8744
vortex,bimod,1MB,divide,by,zero>
vortex,bimod,256KB,bpred_jr_rate,0.8744
vortex,bimod,256KB,divide,by,zero>
vortex,bimod,32KB,bpred_jr_rate,0.8744
vortex,bimod,32KB,divide,by,zero>
vortex,bimod,512KB,bpred_jr_rate,0.8744
vortex,bimod,512KB,divide,by,zero>
vortex,bimod,64KB,bpred_jr_rate,0.8744
vortex,bimod,64KB,divide,by,zero>
fpppp,bimod,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,128KB,divide,by,zero>
fpppp,bimod,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,16KB,divide,by,zero>
fpppp,bimod,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,256KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,256KB,divide,by,zero>
fpppp,bimod,32KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,32KB,divide,by,zero>
fpppp,bimod,512KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,512KB,divide,by,zero>
fpppp,bimod,64KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,64KB,divide,by,zero>
gcc,bimod,128KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,16KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,1MB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,256KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,32KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,512KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
gcc,bimod,64KB,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0817
go,bimod,128KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,16KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,1MB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,256KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,32KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,512KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
go,bimod,64KB,bpred_jr_non_ras_rate.PP,0.6449
go,bimod,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0468
ijpeg,bimod,128KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,16KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,1MB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,256KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,32KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,512KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
ijpeg,bimod,64KB,bpred_jr_non_ras_rate.PP,0.9929
ijpeg,bimod,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0000
li,bimod,128KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,16KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,1MB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,256KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,32KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,512KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
li,bimod,64KB,bpred_jr_non_ras_rate.PP,0.8256
li,bimod,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0135
m88ksim,bimod,128KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,128KB,divide,by,zero>
m88ksim,bimod,16KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,16KB,divide,by,zero>
m88ksim,bimod,1MB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,1MB,divide,by,zero>
m88ksim,bimod,256KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,256KB,divide,by,zero>
m88ksim,bimod,32KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,32KB,divide,by,zero>
m88ksim,bimod,512KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,512KB,divide,by,zero>
m88ksim,bimod,64KB,bpred_jr_non_ras_rate.PP,0.6769
m88ksim,bimod,64KB,divide,by,zero>
perl,bimod,128KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,128KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,16KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,16KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,1MB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,1MB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,256KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,256KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,32KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,32KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,512KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,512KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
perl,bimod,64KB,bpred_jr_non_ras_rate.PP,0.1495
perl,bimod,64KB,reverse_bpred_jr_non_ras_rate.PP,0.0127
vortex,bimod,128KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,128KB,divide,by,zero>
vortex,bimod,16KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,16KB,divide,by,zero>
vortex,bimod,1MB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,1MB,divide,by,zero>
vortex,bimod,256KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,256KB,divide,by,zero>
vortex,bimod,32KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,32KB,divide,by,zero>
vortex,bimod,512KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,512KB,divide,by,zero>
vortex,bimod,64KB,bpred_jr_non_ras_rate.PP,0.5754
vortex,bimod,64KB,divide,by,zero>
fpppp,bimod,128KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,128KB,ras_rate.PP,0.8213
fpppp,bimod,128KB,divide,by,zero>
fpppp,bimod,128KB,divide,by,zero>
fpppp,bimod,16KB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,16KB,ras_rate.PP,0.8213
fpppp,bimod,16KB,divide,by,zero>
fpppp,bimod,16KB,divide,by,zero>
fpppp,bimod,1MB,bpred_jr_non_ras_rate.PP,0.6667
fpppp,bimod,1MB,ras_rate.PP,0.8213
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,1MB,divide,by,zero>
fpppp,bimod,256KB,bpred_jr_non_ras_rate.PP,0.6667
